DATE,TB3MS
1984-12-01,8.06
1985-01-01,7.76
1985-02-01,8.27
1985-03-01,8.52
1985-04-01,7.95
1985-05-01,7.48
1985-06-01,6.95
1985-07-01,7.08
1985-08-01,7.14
1985-09-01,7.1
1985-10-01,7.16
1985-11-01,7.24
1985-12-01,7.1
1986-01-01,7.07
1986-02-01,7.06
1986-03-01,6.56
1986-04-01,6.06
1986-05-01,6.15
1986-06-01,6.21
1986-07-01,5.83
1986-08-01,5.53
1986-09-01,5.21
1986-10-01,5.18
1986-11-01,5.35
1986-12-01,5.53
1987-01-01,5.43
1987-02-01,5.59
1987-03-01,5.59
1987-04-01,5.64
1987-05-01,5.66
1987-06-01,5.67
1987-07-01,5.69
1987-08-01,6.04
1987-09-01,6.4
1987-10-01,6.13
1987-11-01,5.69
1987-12-01,5.77
1988-01-01,5.81
1988-02-01,5.66
1988-03-01,5.7
1988-04-01,5.91
1988-05-01,6.26
1988-06-01,6.46
1988-07-01,6.73
1988-08-01,7.06
1988-09-01,7.24
1988-10-01,7.35
1988-11-01,7.76
1988-12-01,8.07
1989-01-01,8.27
1989-02-01,8.53
1989-03-01,8.82
1989-04-01,8.65
1989-05-01,8.43
1989-06-01,8.15
1989-07-01,7.88
1989-08-01,7.9
1989-09-01,7.75
1989-10-01,7.64
1989-11-01,7.69
1989-12-01,7.63
1990-01-01,7.64
1990-02-01,7.74
1990-03-01,7.9
1990-04-01,7.77
1990-05-01,7.74
1990-06-01,7.73
1990-07-01,7.62
1990-08-01,7.45
1990-09-01,7.36
1990-10-01,7.17
1990-11-01,7.06
1990-12-01,6.74
1991-01-01,6.22
1991-02-01,5.94
1991-03-01,5.91
1991-04-01,5.65
1991-05-01,5.46
1991-06-01,5.57
1991-07-01,5.58
1991-08-01,5.33
1991-09-01,5.22
1991-10-01,4.99
1991-11-01,4.56
1991-12-01,4.07
1992-01-01,3.8
1992-02-01,3.84
1992-03-01,4.04
1992-04-01,3.75
1992-05-01,3.63
1992-06-01,3.66
1992-07-01,3.21
1992-08-01,3.13
1992-09-01,2.91
1992-10-01,2.86
1992-11-01,3.13
1992-12-01,3.22
1993-01-01,3.0
1993-02-01,2.93
1993-03-01,2.95
1993-04-01,2.87
1993-05-01,2.96
1993-06-01,3.07
1993-07-01,3.04
1993-08-01,3.02
1993-09-01,2.95
1993-10-01,3.02
1993-11-01,3.1
1993-12-01,3.06
1994-01-01,2.98
1994-02-01,3.25
1994-03-01,3.5
1994-04-01,3.68
1994-05-01,4.14
1994-06-01,4.14
1994-07-01,4.33
1994-08-01,4.48
1994-09-01,4.62
1994-10-01,4.95
1994-11-01,5.29
1994-12-01,5.6
1995-01-01,5.71
1995-02-01,5.77
1995-03-01,5.73
1995-04-01,5.65
1995-05-01,5.67
1995-06-01,5.47
1995-07-01,5.42
1995-08-01,5.4
1995-09-01,5.28
1995-10-01,5.28
1995-11-01,5.36
1995-12-01,5.14
1996-01-01,5.0
1996-02-01,4.83
1996-03-01,4.96
1996-04-01,4.95
1996-05-01,5.02
1996-06-01,5.09
1996-07-01,5.15
1996-08-01,5.05
1996-09-01,5.09
1996-10-01,4.99
1996-11-01,5.03
1996-12-01,4.91
1997-01-01,5.03
1997-02-01,5.01
1997-03-01,5.14
1997-04-01,5.16
1997-05-01,5.05
1997-06-01,4.93
1997-07-01,5.05
1997-08-01,5.14
1997-09-01,4.95
1997-10-01,4.97
1997-11-01,5.14
1997-12-01,5.16
1998-01-01,5.04
1998-02-01,5.09
1998-03-01,5.03
1998-04-01,4.95
1998-05-01,5.0
1998-06-01,4.98
1998-07-01,4.96
1998-08-01,4.9
1998-09-01,4.61
1998-10-01,3.96
1998-11-01,4.41
1998-12-01,4.39
1999-01-01,4.34
1999-02-01,4.44
1999-03-01,4.44
1999-04-01,4.29
1999-05-01,4.5
1999-06-01,4.57
1999-07-01,4.55
1999-08-01,4.72
1999-09-01,4.68
1999-10-01,4.86
1999-11-01,5.07
1999-12-01,5.2
2000-01-01,5.32
2000-02-01,5.55
2000-03-01,5.69
2000-04-01,5.66
2000-05-01,5.79
2000-06-01,5.69
2000-07-01,5.96
2000-08-01,6.09
2000-09-01,6.0
2000-10-01,6.11
2000-11-01,6.17
2000-12-01,5.77
2001-01-01,5.15
2001-02-01,4.88
2001-03-01,4.42
2001-04-01,3.87
2001-05-01,3.62
2001-06-01,3.49
2001-07-01,3.51
2001-08-01,3.36
2001-09-01,2.64
2001-10-01,2.16
2001-11-01,1.87
2001-12-01,1.69
2002-01-01,1.65
2002-02-01,1.72
2002-03-01,1.79
2002-04-01,1.71
2002-05-01,1.73
2002-06-01,1.7
2002-07-01,1.68
2002-08-01,1.62
2002-09-01,1.63
2002-10-01,1.58
2002-11-01,1.23
2002-12-01,1.19
2003-01-01,1.17
2003-02-01,1.17
2003-03-01,1.13
2003-04-01,1.13
2003-05-01,1.07
2003-06-01,0.92
2003-07-01,0.9
2003-08-01,0.95
2003-09-01,0.94
2003-10-01,0.92
2003-11-01,0.93
2003-12-01,0.9
2004-01-01,0.88
2004-02-01,0.93
2004-03-01,0.94
2004-04-01,0.94
2004-05-01,1.02
2004-06-01,1.27
2004-07-01,1.33
2004-08-01,1.48
2004-09-01,1.65
2004-10-01,1.76
2004-11-01,2.07
2004-12-01,2.19
2005-01-01,2.33
2005-02-01,2.54
2005-03-01,2.74
2005-04-01,2.78
2005-05-01,2.84
2005-06-01,2.97
2005-07-01,3.22
2005-08-01,3.44
2005-09-01,3.42
2005-10-01,3.71
2005-11-01,3.88
2005-12-01,3.89
2006-01-01,4.24
2006-02-01,4.43
2006-03-01,4.51
2006-04-01,4.6
2006-05-01,4.72
2006-06-01,4.79
2006-07-01,4.95
2006-08-01,4.96
2006-09-01,4.81
2006-10-01,4.92
2006-11-01,4.94
2006-12-01,4.85
2007-01-01,4.98
2007-02-01,5.03
2007-03-01,4.94
2007-04-01,4.87
2007-05-01,4.73
2007-06-01,4.61
2007-07-01,4.82
2007-08-01,4.2
2007-09-01,3.89
2007-10-01,3.9
2007-11-01,3.27
2007-12-01,3.0
2008-01-01,2.75
2008-02-01,2.12
2008-03-01,1.26
2008-04-01,1.29
2008-05-01,1.73
2008-06-01,1.86
2008-07-01,1.63
2008-08-01,1.72
2008-09-01,1.13
2008-10-01,0.67
2008-11-01,0.19
2008-12-01,0.03
2009-01-01,0.13
2009-02-01,0.3
2009-03-01,0.21
2009-04-01,0.16
2009-05-01,0.18
2009-06-01,0.18
2009-07-01,0.18
2009-08-01,0.17
2009-09-01,0.12
2009-10-01,0.07
2009-11-01,0.05
2009-12-01,0.05
2010-01-01,0.06
2010-02-01,0.11
2010-03-01,0.15
2010-04-01,0.16
2010-05-01,0.16
2010-06-01,0.12
2010-07-01,0.16
2010-08-01,0.16
2010-09-01,0.15
2010-10-01,0.13
2010-11-01,0.14
2010-12-01,0.14
2011-01-01,0.15
2011-02-01,0.13
2011-03-01,0.1
2011-04-01,0.06
2011-05-01,0.04
2011-06-01,0.04
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.01
2011-10-01,0.02
2011-11-01,0.01
2011-12-01,0.01
2012-01-01,0.03
2012-02-01,0.09
2012-03-01,0.08
2012-04-01,0.08
2012-05-01,0.09
2012-06-01,0.09
2012-07-01,0.1
2012-08-01,0.1
2012-09-01,0.11
2012-10-01,0.1
2012-11-01,0.09
2012-12-01,0.07
2013-01-01,0.07
2013-02-01,0.1
2013-03-01,0.09
2013-04-01,0.06
2013-05-01,0.04
2013-06-01,0.05
2013-07-01,0.04
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.05
2013-11-01,0.07
2013-12-01,0.07
2014-01-01,0.04
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.03
2014-05-01,0.03
2014-06-01,0.04
2014-07-01,0.03
2014-08-01,0.03
2014-09-01,0.02
2014-10-01,0.02
2014-11-01,0.02
2014-12-01,0.03
2015-01-01,0.03
2015-02-01,0.02
2015-03-01,0.03
2015-04-01,0.02
2015-05-01,0.02
2015-06-01,0.02
2015-07-01,0.03
2015-08-01,0.07
2015-09-01,0.02
2015-10-01,0.02
2015-11-01,0.12
2015-12-01,0.23
2016-01-01,0.26
2016-02-01,0.31
2016-03-01,0.29
2016-04-01,0.23
2016-05-01,0.27
2016-06-01,0.27
2016-07-01,0.3
2016-08-01,0.3
2016-09-01,0.29
2016-10-01,0.33
2016-11-01,0.45
2016-12-01,0.51
2017-01-01,0.51
2017-02-01,0.52
2017-03-01,0.74
2017-04-01,0.8
2017-05-01,0.89
2017-06-01,0.98
2017-07-01,1.07
2017-08-01,1.01
2017-09-01,1.03
2017-10-01,1.07
2017-11-01,1.23
2017-12-01,1.32
2018-01-01,1.41
2018-02-01,1.57
2018-03-01,1.7
2018-04-01,1.76
2018-05-01,1.86
2018-06-01,1.9
2018-07-01,1.96
2018-08-01,2.03
2018-09-01,2.13
2018-10-01,2.25
2018-11-01,2.33
2018-12-01,2.37
2019-01-01,2.37
2019-02-01,2.39
2019-03-01,2.4
2019-04-01,2.38
2019-05-01,2.35
2019-06-01,2.17
2019-07-01,2.1
2019-08-01,1.95
2019-09-01,1.89
2019-10-01,1.65
2019-11-01,1.54
2019-12-01,1.54
2020-01-01,1.52
2020-02-01,1.52
2020-03-01,0.29
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.1
2020-09-01,0.11
2020-10-01,0.1
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
2021-06-01,0.04
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.06
